Name,Description,Price1,Price2,Image
Exclusivo Internet,"SuperPack Quix Limón 1,2lt + Jabón Dove 700ml",$3.970,,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/BNDLSKU_20000135a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Fructis,Hair Food Aloe Shampoo 300ML,$3.990,$ Precio x L : $13.300,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1045467a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Fructis,Hair Food Aloe Acondicionador 300ML,$3.990,$ Precio x L : $13.300,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1045469a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Fructis,Hair Food Aguacate Shampoo 300 ML,$3.990,$ Precio x L : $13.300,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1045475a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Fructis,Hair Food Aguacate Acondicionador 300 ML,$3.990,$ Precio x L : $13.300,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1045477a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Fructis,Hair Food Banana Shampoo 300ML,$3.990,$ Precio x L : $13.300,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1045463a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Fructis,Hair Food Banana Acondicionador 300ML,$3.990,$ Precio x L : $13.300,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1045465a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Fructis,Hair Food Coco Shampoo 300ML,$3.990,$ Precio x L : $13.300,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1045471a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Fructis,Hair Food Coco Acondicionador 300ML,$3.990,$ Precio x L : $13.300,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1045473a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Exclusivo Internet,SuperPack Pepsodent: Cepillo + 3 Pastas Dentales Antibac,$4.110,,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/BNDLSKU_20000146a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Exclusivo Internet,SuperPack Sedal Restauración: Shampoo + Acondicionador + Crema Peinar,$4.590,,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/BNDLSKU_20000143a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Exclusivo Internet,SuperPack Desodorante Rexona Clinical Spray Mixto 2x,$4.600,,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/BNDLSKU_20000151a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Exclusivo Internet,SuperPack Hellmans: Mayonesa 930gr + Kecthup 1kg + Mostaza 372gr,$4.660,,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/BNDLSKU_20000139a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Organic Shop,Acondicionador con Extractos Orgánicos Argán y Amla,$4.790,$ Precio x L : $17.107,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/994054a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Organic Shop,Acondicionador con Extractos Orgánicos Palta y Miel,$4.790,$ Precio x L : $17.107,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/994052a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Organic Shop,Acondicionador con Extractos Orgánicos Coco y Shea,$4.790,$ Precio x L : $17.107,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/994056a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
